anomaly_confirmed,baseline_failures,baseline_p95_ms,baseline_qps,comparison_status,confirmation_reason,db_evidence_summary,experiment_id,post_failures,post_p95_ms,post_qps,status,subtype
True,0,138.6078749783337,8.454135304286645,completed,post SQL is slower than baseline control SQL and EXPLAIN shows slow-path evidence,explain captured,E01_missing_index,0,1143.3616250287741,0.8765005855866229,completed,missing_index
False,0,122.70770804025233,8.696640959014633,completed,redundant-index workload did not show enough write overhead compared with the control table,,E02_excessive_index,5,0.0,0.0,executed_but_not_validated,excessive_index
True,0,0.810875091701746,1407.0792040267604,completed,implicit-conversion SQL is slower than the typed control SQL and EXPLAIN captured degraded access,explain captured,E03_implicit_conversion,0,22.890500025823712,46.500471668864684,executed_but_not_validated,implicit_conversion
True,0,1382.6078749261796,0.7382791721555562,completed,the wider join is slower than the two-table control join,explain captured,E04_multi_table_join,0,2099.9985419912264,0.4826879410940135,completed,multi_table_join
False,0,30.94575006980449,35.82335503412955,completed,order-by probe did not show both slowdown and filesort evidence,explain captured,E05_order_by,0,3532.7719160122797,0.2838693266079004,executed_but_not_validated,order_by
True,0,1249.3399590021,0.8068407995273404,completed,group-by query is slower than the aggregate control and EXPLAIN shows temporary/filesort work,using temporary,E06_group_by,0,2785.202750004828,0.361491036669944,executed_but_not_validated,group_by
True,0,0.8369169663637877,1377.900911263019,completed,large-table scan is slower than the point lookup control and EXPLAIN shows scan-heavy access,explain captured,E07_large_table_scan,0,169.67983392532915,5.948939066612096,executed_but_not_validated,large_table_scan
True,0,1140.0480000302196,0.8670872731500626,completed,post workload shows both throughput increase and latency increase,,E08_single_sql,0,1135.1755840005353,0.8731201813012672,completed,single_sql
False,0,27.772540925070643,15.66736054836272,completed,"post workload changed throughput, but latency did not rise together with it",,E09_overall_workload,0,19.20454192440957,64.79796905691884,completed,overall_workload
False,0,23.408666951581836,16.43055616814321,completed,"resource injection succeeded, but the verification workload did not show clear degradation",,E10_cpu,0,20.30758303590119,16.44222843220333,completed,cpu
False,0,22.40737492684275,16.37034698454206,completed,"io injection succeeded, but the workload probe did not show clear degradation",,E11_io,0,19.668332999572158,16.47106394351423,completed,io
False,0,21.9719170127064,16.533506846696767,environment_blocked,network injection is blocked in the current environment (likely platform or iptables dependency),,E12_network,0,17.72841694764793,16.59086067485515,partial_failure,network
True,0,19.668124965392053,16.72591311704512,completed,memory injection succeeded and the workload probe degraded,,E13_memory,0,22.782249958254397,16.23456338181659,completed,memory
True,0,20.7931250333786,16.403958156960393,completed,disk injection succeeded and the workload probe degraded,,E14_disk,0,21.80741704069078,16.2448242151754,completed,disk
True,0,5.185167072340846,192.85781654641065,completed,the same SQL waited much longer when the row-lock holder was active,,E15_record_lock,,,,completed,record_lock
True,0,2.142542041838169,466.73529875850727,completed,the read probe waited much longer while the WRITE lock was held,,E16_table_lock,,,,completed,table_lock
True,0,27.127915993332863,36.86239666348741,completed,the ALTER TABLE probe waited much longer while a metadata lock holder was active,,E17_metadata_lock,,,,completed,metadata_lock
False,0,36.74758295528591,14.623568595938279,completed,backup table creation did not complete or the copied row counts did not match,,E18_database_table_backup,0,32.25562488660216,11.732380716873847,completed,database_table_backup
